destination port,flow duration,total fwd packets,total backward packets,total length of fwd packets,total length of bwd packets,fwd packet length max,fwd packet length min,fwd packet length mean,fwd packet length std,bwd packet length max,bwd packet length min,bwd packet length mean,bwd packet length std,flow bytes/s,flow packets/s,flow iat mean,flow iat std,flow iat max,flow iat min,fwd iat total,fwd iat mean,fwd iat std,fwd iat max,fwd iat min,bwd iat total,bwd iat mean,bwd iat std,bwd iat max,bwd iat min,fwd psh flags,bwd psh flags,fwd urg flags,bwd urg flags,fwd header length,bwd header length,fwd packets/s,bwd packets/s,min packet length,max packet length,packet length mean,packet length std,packet length variance,fin flag count,syn flag count,rst flag count,psh flag count,ack flag count,urg flag count,cwe flag count,ece flag count,down/up ratio,average packet size,avg fwd segment size,avg bwd segment size,fwd avg bytes/bulk,fwd avg packets/bulk,fwd avg bulk rate,bwd avg bytes/bulk,bwd avg packets/bulk,bwd avg bulk rate,subflow fwd packets,subflow fwd bytes,subflow bwd packets,subflow bwd bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active mean,active std,active max,active min,idle mean,idle std,idle max,idle min
3268,112740690,32,16,6448,1152,403,0,201.5,204.7242047,72,72,72.0,0.0,67.41133126,0.425755776,2398738.085,5798697.94,16400000,3,113000000,3636796.452,6848760.823,16400000,3,113000000,7516023.2,8323384.915,16400000,3,1,0,0,0,1024,512,0.283837184,0.141918592,0,403,163.3265306,178.9317127,32016.55782,0,1,0,0,1,0,0,0,0,166.7291667,201.5,72.0,0,0,0,0,0,0,32,6448,16,1152,377,2079,15,32,359.4285714,11.99801571,380,343,16100000.0,498804.8203,16400000,15400000
389,112740560,32,16,6448,5056,403,0,201.5,204.7242047,316,316,316.0,0.0,102.0395854,0.425756267,2398735.319,5798709.67,16400000,2,113000000,3636792.258,6848776.836,16400000,2,113000000,7516016.133,8323376.147,16400000,4,1,0,0,0,1024,512,0.283837512,0.141918756,0,403,243.0,174.7169139,30526.0,0,1,0,0,1,0,0,0,0,248.0625,201.5,316.0,0,0,0,0,0,0,32,6448,16,5056,955,2079,15,32,320.2857143,15.74499165,330,285,16100000.0,498793.6656,16400000,15400000
0,113757377,545,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,4.790898088,209112.8254,1395543.434,20800000,0,114000000,209112.8254,1395543.434,20800000,0,0,0.0,0.0,0,0,0,0,0,0,0,0,4.790898088,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,545,0,0,0,-1,-1,0,0,9361828.6,7324645.883,18900000,19,12200000.0,6935824.002,20800000,5504997
5355,100126,22,0,616,0,28,28,28.0,0.0,0,0,0.0,0.0,6152.248167,219.7231488,4767.904762,21833.01862,100055,1,100126,4767.904762,21833.01862,100055,1,0,0.0,0.0,0,0,0,0,0,0,704,0,219.7231488,0.0,28,28,28.0,0.0,0.0,0,0,0,0,0,0,0,0,0,29.27272727,28.0,0.0,0,0,0,0,0,0,22,616,0,0,-1,-1,21,32,0.0,0.0,0,0,0.0,0.0,0,0
0,54760,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,73.04601899,18253.33333,30469.83535,53431,108,54760,18253.33333,30469.83535,53431,108,0,0.0,0.0,0,0,0,0,0,0,0,0,73.04601899,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,-1,-1,0,0,0.0,0.0,0,0,0.0,0.0,0,0
88,617,7,4,484,414,233,0,69.14285714,111.9678951,207,0,103.5,119.5115057,1455429.498,17828.20097,61.7,132.0362324,430,1,617,102.8333333,203.6795686,516,1,459,153.0,258.0755703,451,4,0,0,0,0,164,104,11345.2188,6482.982172,0,233,74.83333333,107.5274454,11562.15152,0,0,0,1,0,0,0,0,0,81.63636364,69.14285714,103.5,0,0,0,0,0,0,7,484,4,414,8192,2053,5,20,0.0,0.0,0,0,0.0,0.0,0,0
1031,8,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,1500000.0,250000.0,8.0,0.0,8,8,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,125000.0,125000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,2053,255,0,20,0.0,0.0,0,0,0.0,0.0,0,0
88,881,9,4,656,3064,313,0,72.88888889,136.1538142,1532,0,766.0,884.5006124,4222474.461,14755.95914,73.41666667,193.3115518,683,1,881,110.125,262.9342327,758,1,765,255.0,433.8790154,756,4,0,0,0,0,204,104,10215.66402,4540.295119,0,1532,265.7142857,547.8425417,300131.4505,0,0,0,1,0,0,0,0,0,286.1538462,72.88888889,766.0,0,0,0,0,0,0,9,656,4,3064,8192,2053,7,20,0.0,0.0,0,0,0.0,0.0,0,0
88,1056,9,6,3134,3048,1552,0,348.2222222,682.4825598,1518,0,508.0,782.3472375,5854166.667,14204.54545,75.42857143,216.0771637,824,1,1056,132.0,306.0966234,887,1,992,198.4,352.3865775,824,4,0,0,0,0,204,144,8522.727273,5681.818182,0,1552,386.375,684.9689896,469182.5167,0,0,0,1,0,0,0,0,0,412.1333333,348.2222222,508.0,0,0,0,0,0,0,9,3134,6,3048,8192,2053,7,20,0.0,0.0,0,0,0.0,0.0,0,0
88,515,7,4,2812,2820,1397,0,401.7142857,679.9148756,1410,0,705.0,814.0638796,10900000.0,21359.2233,51.5,80.91731033,275,1,515,85.83333333,139.185368,366,1,427,142.3333333,147.3849834,312,46,0,0,0,0,164,104,13592.23301,7766.990291,0,1410,469.3333333,689.9433881,476021.8788,0,0,0,1,0,0,0,0,0,512.0,401.7142857,705.0,0,0,0,0,0,0,7,2812,4,2820,8192,2053,5,20,0.0,0.0,0,0,0.0,0.0,0,0
1034,18,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,666666.6667,111111.1111,18.0,0.0,18,18,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,55555.55556,55555.55556,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,2053,251,0,20,0.0,0.0,0,0,0.0,0.0,0,0
88,867,9,6,3160,3060,1565,0,351.1111111,688.2149818,1524,0,510.0,785.445606,7174163.783,17301.03806,61.92857143,166.4611132,636,1,867,108.375,257.5898942,743,1,839,167.8,264.224715,636,3,0,0,0,0,204,144,10380.62284,6920.415225,0,1565,388.75,689.2425311,475055.2667,0,0,0,1,0,0,0,0,0,414.6666667,351.1111111,510.0,0,0,0,0,0,0,9,3160,6,3060,8192,2053,7,20,0.0,0.0,0,0,0.0,0.0,0,0
389,4315,13,13,4160,5724,1672,0,320.0,612.9740343,2634,0,440.3076923,817.3089363,2290614.137,6025.492468,172.6,454.387133,2216,1,4315,359.5833333,688.5191564,2216,3,4222,351.8333333,659.5044742,2301,1,0,0,0,0,284,284,3012.746234,3012.746234,0,2634,366.0740741,700.494821,490692.9943,0,0,0,1,0,0,0,0,1,380.1538462,320.0,440.3076923,0,0,0,0,0,0,13,4160,13,5724,8192,0,11,20,0.0,0.0,0,0,0.0,0.0,0,0
135,26393515,11,6,686,752,168,0,62.36363636,80.65143858,268,0,125.3333333,120.6029298,54.48308041,0.644097613,1649594.688,6544950.018,26200000,1,26400000,2639351.5,8275952.256,26200000,3,1168,233.6,325.6421349,698,4,0,0,0,0,244,144,0.416769043,0.227328569,0,268,79.88888889,96.99113901,9407.281046,0,0,0,1,0,0,0,0,0,84.58823529,62.36363636,125.3333333,0,0,0,0,0,0,11,686,6,752,8192,2052,9,20,0.0,0.0,0,0,0.0,0.0,0,0
49671,26391938,21,14,3720,2672,936,0,177.1428571,268.1367721,952,0,190.8571429,324.9593719,242.1951734,1.326162558,776233.4706,4314150.373,25200000,1,26400000,1319596.9,5618823.369,25200000,1,1002034,77079.53846,277226.8942,999746,3,0,0,0,0,444,304,0.795697535,0.530465023,0,952,177.5555556,285.0932123,81278.13968,0,0,0,1,0,0,0,0,0,182.6285714,177.1428571,190.8571429,0,0,0,0,0,0,21,3720,14,2672,8192,2053,19,20,0.0,0.0,0,0,0.0,0.0,0,0
137,93069427,20,20,1180,1180,68,50,59.0,9.233805169,62,56,59.0,3.077935056,25.35741409,0.42978668,2386395.564,9205495.832,50800000,3,93100000,4898383.789,12900000.0,50800000,3,93100000,4898379.0,12900000.0,50800000,3,0,0,0,0,472,472,0.21489334,0.21489334,50,68,59.2195122,6.853875528,46.97560976,0,0,0,0,0,0,0,0,1,60.7,59.0,59.0,0,0,0,0,0,0,20,1180,20,1180,-1,-1,19,20,6703502.0,7341592.724,11900000,1512212,39800000.0,15500000.0,50800000,28900000
53,245,2,2,162,262,81,81,81.0,0.0,131,131,131.0,0.0,1730612.245,16326.53061,81.66666667,134.5226127,237,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,64,8163.265306,8163.265306,81,131,101.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,126.25,81.0,131.0,0,0,0,0,0,0,2,162,2,262,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
53,184,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,869565.2174,21739.13043,61.33333333,21.36195996,86,49,49,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0,0,0,64,64,10869.56522,10869.56522,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
53,225,2,2,162,262,81,81,81.0,0.0,131,131,131.0,0.0,1884444.444,17777.77778,75.0,46.7653718,129,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,64,64,8888.888889,8888.888889,81,131,101.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,126.25,81.0,131.0,0,0,0,0,0,0,2,162,2,262,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
53,198,2,2,142,242,71,71,71.0,0.0,121,121,121.0,0.0,1939393.939,20202.0202,66.0,108.2543302,191,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,10101.0101,10101.0101,71,121,91.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,113.75,71.0,121.0,0,0,0,0,0,0,2,142,2,242,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
445,10882111,25,20,7506,2420,3072,0,300.24,709.1443365,260,0,121.0,106.6869498,912.139198,4.135227071,247320.7045,1596215.558,10600000,1,10900000,453421.2917,2160084.552,10600000,1,10900000,572731.5789,2477761.691,10800000,1,0,0,0,0,524,424,2.297348373,1.837878698,0,3072,215.7826087,531.0383921,282001.7739,0,0,0,1,0,0,0,0,0,220.5777778,300.24,121.0,0,0,0,0,0,0,25,7506,20,2420,8192,2051,23,20,289411.0,0.0,289411,289411,10600000.0,0.0,10600000,10600000
389,152,2,2,328,326,164,164,164.0,0.0,163,163,163.0,0.0,4302631.579,26315.78947,50.66666667,48.05552344,100,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,0,0,0,0,64,64,13157.89474,13157.89474,163,164,163.6,0.547722558,0.3,0,0,0,0,0,0,0,0,1,204.5,164.0,163.0,0,0,0,0,0,0,2,328,2,326,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
